time,seconds_elapsed,z,y,x
1716758419470882800,0.1108828125,0.2566559314727783,0.14585018157958984,0.020481936633586884
1716758419480855800,0.120855712890625,0.25873565673828125,0.1450653076171875,0.019666530191898346
1716758419490868700,0.13086865234375,0.2604248523712158,0.14442920684814453,0.019010700285434723
1716758419500875300,0.140875244140625,0.261765718460083,0.1439208984375,0.018464170396327972
1716758419510879500,0.15087939453125,0.2683603763580322,0.14137840270996094,0.02253945916891098
1716758419520883000,0.160883056640625,0.2743873596191406,0.1390695571899414,0.02436491847038269
1716758419530885400,0.170885498046875,0.2788536548614502,0.13738346099853516,0.023784197866916656
1716758419540889900,0.180889892578125,0.28109240531921387,0.13656139373779297,0.021162904798984528
1716758419550891800,0.190891845703125,0.28133320808410645,0.1365070343017578,0.01773468405008316
1716758419560893400,0.2008935546875,0.28031373023986816,0.1369190216064453,0.015266545116901398
1716758419570894800,0.210894775390625,0.27930212020874023,0.13730239868164062,0.015163667500019073
1716758419580896300,0.220896240234375,0.2791571617126465,0.13733673095703125,0.016742751002311707
1716758419590897700,0.230897705078125,0.28057169914245605,0.13678646087646484,0.018638938665390015
1716758419600898600,0.240898681640625,0.2838759422302246,0.13553142547607422,0.019452013075351715
1716758419610899700,0.250899658203125,0.2882230281829834,0.13389873504638672,0.0188017338514328
1716758419620900600,0.260900634765625,0.29181599617004395,0.13256359100341797,0.016856439411640167
1716758419630901500,0.270901611328125,0.29407644271850586,0.1317424774169922,0.013741232454776764
1716758419640902100,0.280902099609375,0.29457664489746094,0.1315898895263672,0.010415010154247284
1716758419650903300,0.2909033203125,0.2926909923553467,0.13233089447021484,0.007657527923583984
1716758419660904200,0.300904296875,0.28793764114379883,0.13413619995117188,0.006439678370952606
1716758419670904800,0.31090478515625,0.2807340621948242,0.13684463500976562,0.0073208436369895935
1716758419680905500,0.320905517578125,0.2727162837982178,0.13985919952392578,0.009930737316608429
1716758419690906000,0.330906005859375,0.26555633544921875,0.14253520965576172,0.013492226600646973
1716758419700906800,0.34090673828125,0.2604513168334961,0.14443588256835938,0.017089955508708954
1716758419710907100,0.3509072265625,0.25793957710266113,0.1453704833984375,0.019723229110240936
1716758419720907800,0.36090771484375,0.2580902576446533,0.14528751373291016,0.021658875048160553
1716758419730908400,0.370908447265625,0.26078081130981445,0.14424991607666016,0.022718317806720734
1716758419740908800,0.38090869140625,0.26584291458129883,0.14232730865478516,0.022438623011112213
1716758419750909200,0.3909091796875,0.27233052253723145,0.1398792266845703,0.02133271098136902
1716758419760909800,0.400909912109375,0.27952003479003906,0.13717365264892578,0.019400283694267273
1716758419770910200,0.41091015625,0.28680896759033203,0.13444042205810547,0.017361178994178772
1716758419780910600,0.42091064453125,0.2940804958343506,0.13170623779296875,0.016384735703468323
1716758419790911000,0.430910888671875,0.30158281326293945,0.12889385223388672,0.01615998148918152
1716758419800911000,0.4409111328125,0.30945920944213867,0.1259326934814453,0.01663988083600998
1716758419810911000,0.450910888671875,0.31821131706237793,0.12264442443847656,0.01776859164237976
1716758419820911000,0.4609111328125,0.326815128326416,0.1194305419921875,0.01893734186887741
1716758419830911000,0.470910888671875,0.3342885971069336,0.11664009094238281,0.020037122070789337
1716758419840910600,0.48091064453125,0.340085506439209,0.11446762084960938,0.021057695150375366
1716758419850910700,0.49091064453125,2.6637918949127197,-1.383176326751709,-1.400541067123413
1716758419860910600,0.50091064453125,2.8515477180480957,-1.4003047943115234,-1.3530700206756592
1716758419870910700,0.51091064453125,3.0344719886779785,-1.385396957397461,-1.3998104333877563
1716758419880910600,0.52091064453125,3.1250569820404053,-1.4059109687805176,-1.4193460941314697
1716758419890910500,0.530910400390625,3.128060817718506,-1.4483461380004883,-1.5091114044189453
1716758419900910800,0.540910888671875,3.160339832305908,-1.422471523284912,-1.5905687808990479
1716758419910910700,0.55091064453125,3.072169065475464,-1.3741459846496582,-1.5808709859848022
1716758419920910300,0.560910400390625,2.940739870071411,-1.33469820022583,-1.5188103914260864
1716758419930910500,0.570910400390625,2.7993264198303223,-1.3279752731323242,-1.4622987508773804
1716758419940910300,0.580910400390625,2.704895496368408,-1.3154449462890625,-1.5267125368118286
1716758419950910200,0.59091015625,2.6514782905578613,-1.3373832702636719,-1.6205466985702515
1716758419960910000,0.60091015625,2.622899293899536,-1.33323335647583,-1.599831461906433
1716758419970910200,0.61091015625,2.5980682373046875,-1.3645682334899902,-1.5194693803787231
1716758419980910000,0.62091015625,2.620725631713867,-1.4068317413330078,-1.4924261569976807
1716758419990910200,0.63091015625,2.6355528831481934,-1.3905024528503418,-1.521419644355774
1716758420000910600,0.64091064453125,2.66009783744812,-1.3087220191955566,-1.5456541776657104
1716758420010910700,0.65091064453125,2.7274959087371826,-1.2882390022277832,-1.4952759742736816
1716758420020910600,0.66091064453125,2.827974796295166,-1.2835187911987305,-1.4383163452148438
1716758420030911200,0.6709111328125,2.923656463623047,-1.299485206604004,-1.4112118482589722
1716758420040911600,0.68091162109375,2.9772214889526367,-1.2694592475891113,-1.4322963953018188
1716758420050911500,0.690911376953125,2.978614568710327,-1.2276525497436523,-1.4641677141189575
1716758420060911600,0.70091162109375,2.961216688156128,-1.1787891387939453,-1.4520632028579712
1716758420070911500,0.710911376953125,3.003994941711426,-1.1994647979736328,-1.4033477306365967
1716758420080911600,0.72091162109375,2.9709393978118896,-1.2156505584716797,-1.37095308303833
1716758420090911000,0.730910888671875,2.974853754043579,-1.2393732070922852,-1.390040397644043
1716758420100911000,0.7409111328125,2.9582903385162354,-1.2754569053649902,-1.4772711992263794
