time,seconds_elapsed,z,y,x
1716551985704411100,0.0974111328125,0,0,0
1716551985714078000,0.107077880859375,0.07983207702636719,0.011482596397399902,-0.01066511869430542
1716551985723744800,0.116744873046875,0.33918190002441406,-0.05125504732131958,0.08940392732620239
1716551985733411800,0.126411865234375,0.2043447494506836,-0.09549474716186523,0.30580127239227295
1716551985743078700,0.13607861328125,-0.3324728012084961,-0.029797911643981934,0.12170267105102539
1716551985752745500,0.145745361328125,-0.9606056213378906,0.012156099081039429,0.19048500061035156
1716551985762412300,0.155412353515625,-0.9996528625488281,0.05882900953292847,0.1657179594039917
1716551985772079000,0.1650791015625,-1.035726547241211,0.18559372425079346,0.1675095558166504
1716551985781746000,0.174745849609375,-1.3548450469970703,0.31070756912231445,0.17300939559936523
1716551985791412700,0.184412841796875,-1.4364347457885742,0.3578181266784668,0.06182718276977539
1716551985801079600,0.19407958984375,-1.2679729461669922,0.27633804082870483,0.0736544132232666
1716551985810746400,0.203746337890625,-0.4756507873535156,-0.10189172625541687,1.0296114683151245
1716551985820413400,0.213413330078125,-0.036380767822265625,-0.2561589777469635,1.3490030765533447
1716551985830080300,0.223080322265625,0.08018016815185547,-0.15227966010570526,1.4206790924072266
1716551985839747000,0.2327470703125,0.25522613525390625,0.1507035493850708,1.2315289974212646
1716551985849414000,0.242413818359375,0.3252143859863281,0.33078283071517944,0.9263975620269775
1716551985859080700,0.252080810546875,0.23072433471679688,0.32339441776275635,0.3065652847290039
1716551985868747500,0.26174755859375,-0.08427715301513672,1.1421520709991455,-1.7744765281677246
1716551985878414300,0.271414306640625,-0.2143726348876953,1.7417653799057007,-2.7986395359039307
1716551985888081200,0.2810810546875,0.12223529815673828,0.9006427526473999,-2.1031177043914795
1716551985897748000,0.290748046875,0.9717721939086914,-0.10622820258140564,-0.7827924489974976
1716551985907414800,0.300414794921875,1.8265371322631836,-0.17343828082084656,0.055490970611572266
1716551985917081600,0.31008154296875,2.689957618713379,0.1910979151725769,0.5465875864028931
1716551985926748700,0.319748779296875,2.8654003143310547,0.6437922120094299,0.622583270072937
1716551985936415500,0.32941552734375,2.473017692565918,0.5560349225997925,0.6280020475387573
1716551985946082300,0.339082275390625,1.7910118103027344,0.1863761842250824,0.6148542165756226
1716551985955749000,0.3487490234375,1.4555931091308594,-0.01187121868133545,0.34432995319366455
1716551985965416000,0.358416015625,1.2483301162719727,0.21119701862335205,-0.06464433670043945
1716551985975082800,0.368082763671875,1.0675668716430664,0.42743390798568726,-0.3819371461868286
1716551985984749600,0.37774951171875,1.4055871963500977,0.6795740127563477,-0.4555385112762451
1716551985994416400,0.38741650390625,1.5263071060180664,0.6233845353126526,-0.39945828914642334
1716551986004083200,0.397083251953125,1.271458625793457,0.7272253036499023,-0.21473932266235352
1716551986013750300,0.406750244140625,1.1294260025024414,0.6424654722213745,0.30741310119628906
1716551986023417000,0.4164169921875,0.960118293762207,0.17592307925224304,0.8669712543487549
1716551986033084000,0.426083984375,0.6467666625976562,-0.43010348081588745,1.2836827039718628
1716551986042750700,0.435750732421875,0.053589820861816406,-0.7265943884849548,1.3550381660461426
1716551986052417500,0.44541748046875,-0.43790149688720703,-1.004796028137207,1.2572910785675049
1716551986062084400,0.45508447265625,-0.8451805114746094,-1.1158883571624756,1.1915392875671387
1716551986071751200,0.464751220703125,-1.3511056900024414,-1.0599753856658936,1.4341764450073242
1716551986081418000,0.47441796875,-1.8671302795410156,-1.0719902515411377,1.7909600734710693
1716551986091084800,0.484084716796875,-2.324275493621826,-1.3793389797210693,2.059725761413574
1716551986100751600,0.493751708984375,-2.2345170974731445,-1.3582428693771362,1.9031126499176025
1716551986110418400,0.50341845703125,-2.02187442779541,-1.45136296749115,1.903832197189331
1716551986120085200,0.513085205078125,-1.8227458000183105,-1.391279697418213,1.8071424961090088
1716551986129752300,0.52275244140625,-1.2478628158569336,-0.8628551363945007,1.2460734844207764
1716551986139419100,0.532419189453125,-0.4836883544921875,-0.6104005575180054,1.3101093769073486
1716551986149086000,0.5420859375,-0.12593841552734375,-0.39289218187332153,0.8530819416046143
1716551986158752800,0.551752685546875,0.007504463195800781,-0.24525153636932373,1.0060536861419678
1716551986168419600,0.561419677734375,0.08199310302734375,-0.17176413536071777,1.2587077617645264
1716551986178086400,0.57108642578125,0.010341644287109375,-0.10049128532409668,1.4914591312408447
1716551986187753200,0.580753173828125,-0.2522592544555664,-0.07366812229156494,1.5407445430755615
1716551986197420000,0.590419921875,-0.45633506774902344,-0.24017655849456787,1.4408226013183594
1716551986207086800,0.6000869140625,-0.6009750366210938,-0.4766108989715576,1.4753880500793457
1716551986216754000,0.60975390625,-0.23538494110107422,-0.6636660099029541,1.582348108291626
1716551986226420700,0.619420654296875,0.08246612548828125,-1.0557947158813477,1.549067735671997
1716551986236087600,0.629087646484375,0.5079307556152344,-1.8494138717651367,1.6854825019836426
1716551986245754400,0.63875439453125,0.5326061248779297,-2.228783369064331,1.623795747756958
1716551986255421200,0.648421142578125,-0.03310680389404297,-2.49733304977417,1.4144134521484375
1716551986265088000,0.658087890625,-0.3169879913330078,-2.469207286834717,1.8028793334960938
1716551986274754800,0.6677548828125,-1.333395004272461,-2.464860439300537,1.4066112041473389
1716551986284421600,0.677421630859375,-2.1631736755371094,-1.9886600971221924,1.522254228591919
1716551986294088400,0.68708837890625,-2.4748778343200684,-1.447951078414917,1.2859556674957275
1716551986303755300,0.69675537109375,-2.275421142578125,-1.0275824069976807,0.9749717712402344
1716551986313422000,0.706422119140625,-1.8077497482299805,-0.9795870780944824,0.23151540756225586
